"","grid_label","row","col","lon","lat"
"279","N19","N",19,-2.42806715693548,52.7663421780743
"280","N20","N",20,-2.42799305650447,52.7663424455767
"281","O1","O",1,-2.42940052206659,52.7662924087801
"282","O2","O",2,-2.42932642173299,52.7662926771151
"283","O3","O",3,-2.42925232139822,52.7662929454038
"284","O4","O",4,-2.42917822106227,52.7662932136463
"285","O5","O",5,-2.42910412072515,52.7662934818424
"286","O6","O",6,-2.42903002038685,52.7662937499923
"287","O7","O",7,-2.42895592004738,52.7662940180959
"288","O8","O",8,-2.42888181970674,52.7662942861532
"289","O9","O",9,-2.42880771936492,52.7662945541642
"290","O10","O",10,-2.42873361902193,52.766294822129
"291","O11","O",11,-2.42865951867777,52.7662950900475
"292","O12","O",12,-2.42858541833243,52.7662953579197
"293","O13","O",13,-2.42851131798592,52.7662956257456
"294","O14","O",14,-2.42843721763824,52.7662958935252
"295","O15","O",15,-2.42836311728939,52.7662961612586
"296","O16","O",16,-2.42828901693936,52.7662964289457
"297","O17","O",17,-2.42821491658816,52.7662966965865
"298","O18","O",18,-2.42814081623579,52.766296964181
"299","O19","O",19,-2.42806671588225,52.7662972317292
"300","O20","O",20,-2.42799261552754,52.7662974992312
"301","P1","P",1,-2.42940007964122,52.7662474624425
"302","P2","P",2,-2.42932597938391,52.766247730777
"303","P3","P",3,-2.42925187912543,52.7662479990653
"304","P4","P",4,-2.42917777886578,52.7662482673073
"305","P5","P",5,-2.42910367860496,52.766248535503
"306","P6","P",6,-2.42902957834295,52.7662488036525
"307","P7","P",7,-2.42895547807978,52.7662490717556
"308","P8","P",8,-2.42888137781543,52.7662493398125
"309","P9","P",9,-2.42880727754991,52.7662496078231
"310","P10","P",10,-2.42873317728322,52.7662498757875
"311","P11","P",11,-2.42865907701535,52.7662501437055
"312","P12","P",12,-2.42858497674631,52.7662504115772
"313","P13","P",13,-2.42851087647609,52.7662506794027
"314","P14","P",14,-2.42843677620471,52.7662509471819
"315","P15","P",15,-2.42836267593215,52.7662512149149
"316","P16","P",16,-2.42828857565842,52.7662514826015
"317","P17","P",17,-2.42821447538352,52.7662517502419
"318","P18","P",18,-2.42814037510744,52.766252017836
"319","P19","P",19,-2.4280662748302,52.7662522853838
"320","P20","P",20,-2.42799217455178,52.7662525528853
"321","Q1","Q",1,-2.42939963721702,52.7662025161045
"322","Q2","Q",2,-2.42932553703601,52.7662027844386
"323","Q3","Q",3,-2.42925143685383,52.7662030527265
"324","Q4","Q",4,-2.42917733667047,52.766203320968
"325","Q5","Q",5,-2.42910323648594,52.7662035891633
"326","Q6","Q",6,-2.42902913630023,52.7662038573123
"327","Q7","Q",7,-2.42895503611335,52.766204125415
"328","Q8","Q",8,-2.4288809359253,52.7662043934715
"329","Q9","Q",9,-2.42880683573608,52.7662046614816
"330","Q10","Q",10,-2.42873273554568,52.7662049294455
"331","Q11","Q",11,-2.4286586353541,52.7662051973631
"332","Q12","Q",12,-2.42858453516136,52.7662054652345
"333","Q13","Q",13,-2.42851043496744,52.7662057330595
"334","Q14","Q",14,-2.42843633477235,52.7662060008383
"335","Q15","Q",15,-2.42836223457609,52.7662062685708
"336","Q16","Q",16,-2.42828813437865,52.766206536257
"337","Q17","Q",17,-2.42821403418004,52.7662068038969
"338","Q18","Q",18,-2.42813993398027,52.7662070714906
"339","Q19","Q",19,-2.42806583377932,52.766207339038
"340","Q20","Q",20,-2.4279917335772,52.7662076065391
"341","R1","R",1,-2.429399194794,52.7661575697661
"342","R2","R",2,-2.42932509468928,52.7661578380998
"343","R3","R",3,-2.42925099458339,52.7661581063872
"344","R4","R",4,-2.42917689447633,52.7661583746284
"345","R5","R",5,-2.4291027943681,52.7661586428232
"346","R6","R",6,-2.42902869425868,52.7661589109718
"347","R7","R",7,-2.4289545941481,52.7661591790741
"348","R8","R",8,-2.42888049403634,52.7661594471301
"349","R9","R",9,-2.42880639392341,52.7661597151398
"350","R10","R",10,-2.42873229380931,52.7661599831033
"351","R11","R",11,-2.42865819369403,52.7661602510205
"352","R12","R",12,-2.42858409357758,52.7661605188914
"353","R13","R",13,-2.42850999345996,52.766160786716
"354","R14","R",14,-2.42843589334116,52.7661610544943
"355","R15","R",15,-2.42836179322119,52.7661613222264
"356","R16","R",16,-2.42828769310005,52.7661615899121
"357","R17","R",17,-2.42821359297774,52.7661618575516
"358","R18","R",18,-2.42813949285426,52.7661621251449
"359","R19","R",19,-2.4280653927296,52.7661623926918
"360","R20","R",20,-2.42799129260378,52.7661626601925
"361","S1","S",1,-2.42939875237215,52.7661126234274
"362","S2","S",2,-2.42932465234373,52.7661128917607
"363","S3","S",3,-2.42925055231414,52.7661131600477
"364","S4","S",4,-2.42917645228337,52.7661134282884
"365","S5","S",5,-2.42910235225143,52.7661136964828
"366","S6","S",6,-2.42902825221831,52.7661139646309
"367","S7","S",7,-2.42895415218402,52.7661142327328
"368","S8","S",8,-2.42888005214856,52.7661145007884
"369","S9","S",9,-2.42880595211192,52.7661147687977
"370","S10","S",10,-2.42873185207411,52.7661150367607
"371","S11","S",11,-2.42865775203513,52.7661153046774
"372","S12","S",12,-2.42858365199497,52.7661155725479
"373","S13","S",13,-2.42850955195365,52.7661158403721
"374","S14","S",14,-2.42843545191115,52.76611610815
"375","S15","S",15,-2.42836135186747,52.7661163758816
"376","S16","S",16,-2.42828725182263,52.7661166435669
"377","S17","S",17,-2.42821315177661,52.766116911206
"378","S18","S",18,-2.42813905172942,52.7661171787988
"379","S19","S",19,-2.42806495168106,52.7661174463453
"380","S20","S",20,-2.42799085163153,52.7661177138455
"381","T1","T",1,-2.42939830995147,52.7660676770884
"382","T2","T",2,-2.42932420999935,52.7660679454212
"383","T3","T",3,-2.42925011004605,52.7660682137078
"384","T4","T",4,-2.42917601009158,52.766068481948
"385","T5","T",5,-2.42910191013593,52.766068750142
"386","T6","T",6,-2.42902781017911,52.7660690182897
"387","T7","T",7,-2.42895371022112,52.7660692863911
"388","T8","T",8,-2.42887961026195,52.7660695544463
"389","T9","T",9,-2.42880551030161,52.7660698224552
"390","T10","T",10,-2.42873141034009,52.7660700904178
"391","T11","T",11,-2.4286573103774,52.7660703583341
"392","T12","T",12,-2.42858321041354,52.7660706262041
"393","T13","T",13,-2.42850911044851,52.7660708940278
"394","T14","T",14,-2.4284350104823,52.7660711618053
"395","T15","T",15,-2.42836091051492,52.7660714295365
"396","T16","T",16,-2.42828681054637,52.7660716972214
"397","T17","T",17,-2.42821271057665,52.76607196486
"398","T18","T",18,-2.42813861060576,52.7660722324524
"399","T19","T",19,-2.42806451063369,52.7660724999985
"400","T20","T",20,-2.42799041066046,52.7660727674982
